날짜,총 입도객,렌터카 가동률,전세버스 가동률,총 입도객_norm,렌터카 가동률_norm,전세버스 가동률_norm,관광 포화 지수,년,월,월_str,한라산 탐방객,한라산_norm,웰니스 쾌적도,골프장 내장객(도외),골프_norm,골프 쾌적도,쾌적도 라벨,웰니스 라벨,골프 라벨
2025-01-01,984715.0,63.5,9.0,0.6782930286540849,0.1657936209382704,0.034326613191728,0.2928044209280278,2025,1,01월,88491.0,0.7072942456669339,0.5000493332974808,39555.0,0.00784174140881383,0.28496267951921395,쾌적,보통,혼잡
2025-02-01,828602.0,60.8,9.4,0.5707590116214661,0.0402305910690432,0.0445184167464328,0.2185026731456474,2025,2,02월,40384.0,0.1560848303494356,0.18729375174754148,50294.0,0.09192971819841805,0.12657295494722934,쾌적,매우 쾌적,비추천
2025-03-01,932935.0,60.1,22.7,0.6426258426929606,0.0076772129547997,0.3833958849403647,0.344566313529375,2025,3,03월,48308.0,0.2468779250544859,0.2957221192919305,95614.0,0.44679209906301093,-0.10222578553363593,쾌적,쾌적,보통
2025-04-01,1143910.0,68.3,39.6,0.7879499940670085,0.3890167851502291,0.8139995851266391,0.6636554547812922,2025,4,04월,68612.0,0.47952090775152556,0.5715881812664089,128932.0,0.7076770241655375,-0.044021569384245285,약간 혼잡,보통,보통
2025-05-01,1252408.0,71.0,39.2,0.8626857673850862,0.5145798150194563,0.8038077815719343,0.7270244546588255,2025,5,05월,89212.0,0.7155554548141249,0.7212899547364752,144439.0,0.8290991543523698,-0.10207469969354432,약간 혼잡,약간 혼잡,보통
2025-06-01,1200051.0,74.0,27.2,0.8266211313216141,0.6540942926519304,0.4980536749307928,0.6595896996347791,2025,6,06월,70849.0,0.5051524262844884,0.5823710629596337,122199.0,0.6549566267612721,0.004633072873507005,약간 혼잡,보통,비추천
2025-07-01,1312159.0,75.2,19.1,0.90384355086062,0.7099000837049205,0.2916696529480223,0.6351377625045209,2025,7,07월,53756.0,0.3093010421611384,0.47221940233282966,80467.61037012406,0.3281936020294594,0.3069441604750615,약간 혼잡,보통,혼잡
2025-08-01,1329111.0,79.6,14.5,0.9155204557739643,0.9145213175658822,0.1744639120689179,0.6681685618029215,2025,8,08월,54846.0,0.32179024877755746,0.4949794052902395,104097.89364006344,0.5132222556410093,0.15494630616191218,약간 혼잡,보통,비추천
2025-09-01,1184626.725295253,69.29040820205644,31.47265709782765,0.815996556694158,0.4350755461345033,0.6069188794249782,0.6193303274178799,2025,9,09월,55852.66946975028,0.3333246552015504,0.47632749130971513,114132.51829903538,0.5917948681203857,0.027535459297494125,약간 혼잡,보통,비추천
2025-10-01,1071034.79379797,68.24428064526158,42.751371365511375,0.7377519729862229,0.386425566260113,0.8942949798396727,0.6728241730286696,2025,10,10월,93540.1888959353,0.7651477900400209,0.7189859815343452,154509.06798357522,0.9079492933664874,-0.23512512033781785,약간 혼잡,약간 혼잡,추천
2025-11-01,1082773.3626915924,65.95111418327468,28.451474061260896,0.7458377535896662,0.2797822592373093,0.5299406193962416,0.5185202107410724,2025,11,11월,82091.77201779828,0.6339719700198808,0.5762460903804766,138657.8168220349,0.7838316250772808,-0.2653114143362084,보통,보통,추천
2025-12-01,1167584.276901767,67.46038367814546,12.68935375770043,0.8042573489675581,0.3499705742984842,0.1283295350474641,0.4275191527711688,2025,12,12월,92333.5479702325,0.7513221131290765,0.5894206329501226,79177.14000313391,0.31808902597329586,0.10943012679787295,보통,보통,비추천
2026-01-01,1451754.5638850783,63.56755291905646,7.652775713052973,1.0,0.1689351576765072,0.0,0.3896450525588357,2026,1,01월,77916.82407310882,0.5861354677317882,0.4878902601453119,38553.51959573294,0.0,0.3896450525588357,쾌적,보통,혼잡
2026-02-01,60151.00536546894,60.15898217502709,8.17447217572226,0.0414333158385238,0.0104201687343099,0.0132925696567742,0.0217153514098693,2026,2,02월,26761.640285234927,0.0,0.01085767570493465,49252.228113879224,0.08377248845820146,-0.062057137048332156,매우 쾌적,매우 쾌적,보통
2026-03-01,0.0,59.93491577895542,21.49999463286752,0.0,0.0,0.3528203375243507,0.1176067791747835,2026,3,03월,38316.647039049625,0.1323971255068897,0.1250019523408366,98424.82441118399,0.4688012747634757,-0.3511944955886922,매우 쾌적,매우 쾌적,추천
2026-04-01,0.0,69.17665609222068,40.21623962272954,0.0,0.4297855240733943,0.8297010680703509,0.4198288640479151,2026,4,04월,62411.376599837604,0.40847424096690976,0.4141515525074124,128464.96107906039,0.7040200395353287,-0.28419117548741357,보통,보통,추천
2026-05-01,0.0,72.92275406515397,37.87713664836478,0.0,0.6039971580246801,0.7701018730479733,0.4580330103575512,2026,5,05월,80157.90513629031,0.6118137470365752,0.5349233786970632,143410.65334894843,0.8210470462114541,-0.3630140358539029,보통,보통,추천
2026-06-01,0.0,75.5396750769753,28.766654044671817,0.0,0.7256966140145802,0.5379712505844897,0.4212226215330233,2026,6,06월,67233.88871156258,0.46373052552976923,0.44247657353139624,117659.34843992398,0.6194104758145766,-0.19818785428155333,보통,보통,보통
2026-07-01,0.0,77.12563415135133,21.303058926592893,0.0,0.7994513646172652,0.3478025124462057,0.3824179590211569,2026,7,07월,54020.240685236866,0.31232870868809925,0.3473733338546281,76487.90668162052,0.29703192669764183,0.08538603232351505,쾌적,쾌적,비추천
2026-08-01,0.0,81.43806047697707,12.88884089125929,0.0,1.0,0.1334123692397718,0.3778041230799239,2026,8,08월,51687.51499456068,0.285600366366738,0.331702244723331,100793.0175628026,0.48734458147421283,-0.10954045839428894,쾌적,쾌적,보통
2026-09-01,0.0,70.55827761466422,32.93995779625684,0.0,0.4940375924032256,0.6443049806101566,0.3794475243377941,2026,9,09월,51206.53253763449,0.2800892752810279,0.329768399809411,110085.56584421532,0.5601066248864215,-0.18065910054862738,쾌적,쾌적,보통
2026-10-01,0.0,69.22311846320183,41.9467134612992,0.0,0.4319462485457279,0.8737926916184957,0.4352463133880745,2026,10,10월,87310.21433266219,0.6937648179888712,0.5645055656884729,148417.6875121182,0.8602528728710477,-0.42500655948297317,보통,보통,최적
2026-11-01,0.0,66.93266815822204,28.64519598788529,0.0,0.3254292559315956,0.5348765589472285,0.286768604959608,2026,11,11월,77896.9178213522,0.58590738214358,0.436337993551594,132427.030725199,0.7350436376769898,-0.4482750327173818,쾌적,보통,최적
2026-12-01,0.0,68.52835776110244,12.192004100012586,0.0,0.399636523068072,0.1156573100245788,0.1717646110308836,2026,12,12월,89907.36841030532,0.723522977521312,0.4476437942760978,77611.08633386018,0.30582659142695406,-0.13406198039607045,매우 쾌적,보통,보통
